feature,regime,psi,ks_stat,ks_p,n_baseline,n_actual
sentiment_score,R2_covid_zirp,0.7508087923485918,0.16243505996789476,8.446846660592623e-85,13267,5050
sentiment_score,R3_rate_hikes,1.028895075739107,0.19235622370996308,2.4174888897414603e-118,13267,5010
sentiment_score,R4_ai_boom,7.079047921568486e-10,0.19754378202791767,3.867940663590879e-139,13267,5840
fed_funds,R2_covid_zirp,18.288750670883413,0.8772277227722772,0.0,13267,5050
fed_funds,R3_rate_hikes,3.740375693337095,0.5828343313373254,0.0,13267,5010
fed_funds,R4_ai_boom,12.44202644435412,0.8595890410958904,0.0,13267,5840
vix,R2_covid_zirp,4.4637349976677125,0.6970365688110229,0.0,13267,5050
vix,R3_rate_hikes,4.061092437975517,0.6277494005732411,0.0,13267,5010
vix,R4_ai_boom,3.225124388452709,0.3273091851137492,0.0,13267,5840
